VERSION -1073739260 0 0 0
LEAVE kind/msg/state/clicks 7 533 8 0
LEAVE kind/msg/state/clicks 7 8 0 0
FOCUS_CASE_AFTER kind/state/capture/clicks 7 0 0 0
FOCUS_CASE kind/mode 7 3 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 7 12 0 0
ENTER kind/msg/state/clicks 7 8 12 0
ENTER kind/msg/state/clicks 7 243 12 0
LEAVE kind/msg/state/clicks 7 243 8 0
CLICK kind/state/capture/count 7 8 0 1
LEAVE kind/msg/state/clicks 7 8 0 1
FOCUS_CASE_AFTER kind/state/capture/clicks 7 0 0 1
DLGC kind/before/focused/style 8 8224 8224 0
SPACE_DOWN kind/state/capture/clicks 8 44 1 0
SPACE_UP kind/state/capture/clicks 8 8 0 1
HIGHLIGHT kind/state/capture/clicks 8 12 0 0
MOUSE_DOWN kind/state/capture/clicks 8 108 1 0
MOUSE_OUT kind/state/capture/clicks 8 104 1 0
MOUSE_BACK kind/state/capture/clicks 8 108 1 0
CAPTURE_LOST kind/state/capture/clicks 8 8 0 0
ENTER kind/msg/state/clicks 8 256 8 0
ENTER kind/msg/state/clicks 8 243 40 0
LEAVE kind/msg/state/clicks 8 243 44 0
LEAVE kind/msg/state/clicks 8 256 44 0
SECOND_SPACE_DOWN kind/state/capture/clicks 8 44 1 0
ENTER kind/msg/state/clicks 8 8 44 0
ENTER kind/msg/state/clicks 8 243 44 0
LEAVE kind/msg/state/clicks 8 243 40 0
ENTER kind/msg/state/clicks 8 533 8 0
LEAVE kind/msg/state/clicks 8 533 8 0
CLICK kind/state/capture/count 8 8 0 1
LEAVE kind/msg/state/clicks 8 8 0 1
FOCUS_LOST kind/state/capture/clicks 8 0 0 1
FOCUS_CASE kind/mode 8 0 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 8 108 1 0
ENTER kind/msg/state/clicks 8 8 108 0
ENTER kind/msg/state/clicks 8 243 108 0
LEAVE kind/msg/state/clicks 8 243 104 0
ENTER kind/msg/state/clicks 8 533 8 0
LEAVE kind/msg/state/clicks 8 533 8 0
LEAVE kind/msg/state/clicks 8 8 0 0
FOCUS_CASE_AFTER kind/state/capture/clicks 8 0 0 0
FOCUS_CASE kind/mode 8 1 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 8 104 1 0
ENTER kind/msg/state/clicks 8 8 104 0
ENTER kind/msg/state/clicks 8 243 104 0
LEAVE kind/msg/state/clicks 8 243 104 0
ENTER kind/msg/state/clicks 8 533 8 0
LEAVE kind/msg/state/clicks 8 533 8 0
LEAVE kind/msg/state/clicks 8 8 0 0
FOCUS_CASE_AFTER kind/state/capture/clicks 8 0 0 0
FOCUS_CASE kind/mode 8 2 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 8 40 1 0
ENTER kind/msg/state/clicks 8 8 40 0
ENTER kind/msg/state/clicks 8 533 8 0
LEAVE kind/msg/state/clicks 8 533 8 0
LEAVE kind/msg/state/clicks 8 8 0 0
FOCUS_CASE_AFTER kind/state/capture/clicks 8 0 0 0
FOCUS_CASE kind/mode 8 3 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 8 12 0 0
ENTER kind/msg/state/clicks 8 8 12 0
ENTER kind/msg/state/clicks 8 243 12 0
LEAVE kind/msg/state/clicks 8 243 8 0
CLICK kind/state/capture/count 8 8 0 1
LEAVE kind/msg/state/clicks 8 8 0 1
FOCUS_CASE_AFTER kind/state/capture/clicks 8 0 0 1
DLGC kind/before/focused/style 9 8256 8256 9
SPACE_DOWN kind/state/capture/clicks 9 44 1 0
SPACE_UP kind/state/capture/clicks 9 9 0 1
HIGHLIGHT kind/state/capture/clicks 9 13 0 0
MOUSE_DOWN kind/state/capture/clicks 9 109 1 0
MOUSE_OUT kind/state/capture/clicks 9 105 1 0
MOUSE_BACK kind/state/capture/clicks 9 109 1 0
CAPTURE_LOST kind/state/capture/clicks 9 9 0 0
ENTER kind/msg/state/clicks 9 256 9 0
ENTER kind/msg/state/clicks 9 243 41 0
LEAVE kind/msg/state/clicks 9 243 45 0
LEAVE kind/msg/state/clicks 9 256 45 0
SECOND_SPACE_DOWN kind/state/capture/clicks 9 45 1 0
ENTER kind/msg/state/clicks 9 8 45 0
ENTER kind/msg/state/clicks 9 243 45 0
LEAVE kind/msg/state/clicks 9 243 41 0
ENTER kind/msg/state/clicks 9 533 9 0
LEAVE kind/msg/state/clicks 9 533 9 0
CLICK kind/state/capture/count 9 9 0 1
LEAVE kind/msg/state/clicks 9 8 1 1
FOCUS_LOST kind/state/capture/clicks 9 1 0 1
FOCUS_CASE kind/mode 9 0 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 9 108 1 0
ENTER kind/msg/state/clicks 9 8 108 0
ENTER kind/msg/state/clicks 9 243 108 0
LEAVE kind/msg/state/clicks 9 243 104 0
ENTER kind/msg/state/clicks 9 533 8 0
LEAVE kind/msg/state/clicks 9 533 8 0
LEAVE kind/msg/state/clicks 9 8 0 0
FOCUS_CASE_AFTER kind/state/capture/clicks 9 0 0 0
FOCUS_CASE kind/mode 9 1 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 9 104 1 0
ENTER kind/msg/state/clicks 9 8 104 0
ENTER kind/msg/state/clicks 9 243 104 0
LEAVE kind/msg/state/clicks 9 243 104 0
ENTER kind/msg/state/clicks 9 533 8 0
